iter	Passed	Remaining
385	1227	1952
386	1230	1948
387	1232	1944
388	1236	1941
389	1238	1937
390	1241	1933
391	1244	1929
392	1246	1925
393	1249	1921
394	1251	1917
395	1254	1913
396	1257	1909
397	1259	1905
398	1261	1900
399	1264	1897
400	1267	1893
401	1270	1889
402	1273	1885
403	1275	1881
404	1278	1877
405	1280	1873
406	1283	1869
407	1286	1866
408	1289	1863
409	1292	1859
410	1295	1856
411	1298	1852
412	1301	1849
413	1304	1845
414	1307	1842
415	1309	1839
416	1312	1835
417	1315	1831
418	1318	1827
419	1321	1824
420	1323	1820
421	1325	1816
422	1328	1812
423	1330	1808
424	1333	1804
425	1335	1800
426	1338	1795
427	1340	1792
428	1343	1788
429	1347	1785
430	1349	1782
431	1352	1778
432	1355	1775
433	1358	1772
434	1361	1768
435	1364	1764
436	1367	1761
